Date;Ticket
2019-03-12;8779
2019-03-13;8570
2019-03-14;9163
2019-03-15;8965
2019-03-16;7145
2019-03-17;5197
2019-03-18;8067
2019-03-19;9284
2019-03-20;8655
2019-03-21;9231
2019-03-22;9269
2019-03-23;9110
2019-03-24;5418
2019-03-25;8039
2019-03-26;8570
2019-03-27;8690
2019-03-28;9871
2019-03-29;10350
2019-03-30;9654
2019-03-31;7217
2019-04-01;12917
2019-04-02;13805
2019-04-03;10565
2019-04-04;13517
2019-04-05;12570
2019-04-06;10370
2019-04-07;7456
2019-04-08;12608
2019-04-09;12750
2019-04-10;12128
2019-04-11;11680
2019-04-12;10739
2019-04-13;8310
2019-04-14;5976
2019-04-15;10473
2019-04-16;10707
2019-04-17;6335
2019-04-18;9699
2019-04-19;7494
2019-04-20;7830
2019-04-21;5635
2019-04-22;8776
2019-04-23;8960
2019-04-24;8839
2019-04-25;9249
2019-04-26;11949
2019-04-27;9540
2019-04-28;8208
2019-04-29;12227
2019-04-30;10633
2019-05-01;7812
2019-05-02;10501
2019-05-03;10771
2019-05-04;9755
2019-05-05;6587
2019-05-06;10312
2019-05-07;11792
2019-05-08;11687
2019-05-09;11872
2019-05-10;11439
2019-05-11;9259
2019-05-12;6949
2019-05-13;9585
2019-05-14;10153
2019-05-15;9912
2019-05-16;10172
2019-05-17;16734
2019-05-18;15728
2019-05-19;9388
2019-05-20;14530
2019-05-21;14049
2019-05-22;11967
2019-05-23;12299
2019-05-24;14596
2019-05-25;13586
2019-05-26;9984
2019-05-27;16337
2019-05-28;20531
2019-05-29;14870
2019-05-30;11253
2019-05-31;11053
2019-06-01;8575
2019-06-02;6852
2019-06-03;7344
2019-06-04;5837
2019-06-05;3582
2019-06-06;3816
2019-06-07;4658
2019-06-08;4904
2019-06-09;4423
2019-06-10;8045
2019-06-11;9028
2019-06-12;8855
2019-06-13;9001
2019-06-14;9206
2019-06-15;7620
2019-06-16;5741
2019-06-17;8956
2019-06-18;8146
2019-06-19;7934
2019-06-20;11388
2019-06-21;10124
2019-06-22;6874
2019-06-23;5430
2019-06-24;8030
2019-06-25;7932
2019-06-26;9452
2019-06-27;9260
2019-06-28;8892
2019-06-29;6732
2019-06-30;5102
2019-07-01;9566
2019-07-02;8302
2019-07-03;9221
2019-07-04;8110
2019-07-05;8643
2019-07-06;7373
2019-07-07;5879
2019-07-08;9399
2019-07-09;9193
2019-07-10;8897
2019-07-11;8864
2019-07-12;8112
2019-07-13;6933
2019-07-14;5400
2019-07-15;3027
